Source_Month,Month_Label,FY_Year,Distributor,NSV_Lakh,Data_Source,Notes
2026-06,Jun-2026,FY27,ABV Enterprises,3.72,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Sai Saachi,5.67,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Sai Saachi,2.3,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Sai Saachi,1.18,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Mark Enterprises,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Mark Enterprises,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Mark Enterprises,8.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Smriti Enterprises,3.13,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Smriti Enterprises,0.21,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Smriti Enterprises,1.18,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,United Marketing,1.05,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,United Marketing,1.15,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,United Marketing,0.94,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Srijan,1.21,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Srijan,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Srijan,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,M/S RISHABH MARKETING,0.05,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,M/S RISHABH MARKETING,0.24,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,M/S RISHABH MARKETING,0.17,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,SHREE BALAJI MARKETING,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,SHREE BALAJI MARKETING,0.01,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,SHREE BALAJI MARKETING,0.12,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Leo Enterprises,0.1,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Leo Enterprises,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Leo Enterprises,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,R.S. TRADING CO.,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,R.S. TRADING CO.,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,R.S. TRADING CO.,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-04,Apr-2026,FY27,Radhika Traders,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-05,May-2026,FY27,Radhika Traders,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
2026-06,Jun-2026,FY27,Radhika Traders,0.0,Secondary Sales Repository,NSV as reported by distributor registers; North registers not available.
