Ship To Name,Direct/Distributor,Primary Chain,Zone,State,Chains Served
Reliance Retail Limited-FRBF,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited-FRBH,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-FRBK,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-FRBM,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-FRBN,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-FRBO,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-FRBQ,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-FRBV,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCA,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCB,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCC,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCF,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCK,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCL,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-FRCO,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-FRCX,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited-FRDE,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-FRDF,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-FRDH,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-FRDJ,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-FRDM,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-FRDU,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-FRDV,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-FRDY,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-FRDZ,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-FREB,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-FRFJ,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FRFP,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-FRFQ,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FRGA,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited-FRGN,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-FRGQ,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited-FRGS,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-FRGU,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-FRGX,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FRHI,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FRHL,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-FRHT,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-S0GK,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-S0IL,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-S0KN,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-S2BZ,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited-S4AT,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-S4ZK,Direct,Reliance Retail,East,Northeast-Assam,Reliance Retail
Reliance Retail Limited-SAAH,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-SK6I,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-SLET,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-SLG3,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-SLMP,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-SLS1,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-SLS2,Direct,Reliance Retail,South-2,Andhra Pradesh,Reliance Retail
Reliance Retail Limited-SN1U,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-SP9K,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited-Slmr,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-T0BL,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T0BU,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T0BV,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T0CK,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T0MG,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T0Z9,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-T15Z-OD,Direct,Reliance Retail,East,Odisha,Reliance Retail
Reliance Retail Limited-T1CT,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-T1NC,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T1NE,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-T1OW,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-T1X4,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-T27R,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-T2DI,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-T2DO,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-T2EA,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-T37T,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited-T42N,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-T48P,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-T60M,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-T63A,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-T6XJ,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-T84I,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-T84L,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-T914,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited-T915,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited-T971,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-T9SE,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-TA35,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-TA36,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TA5I,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-TA7A,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-TA7C,Direct,Reliance Retail,North,Himachal Pradesh,Reliance Retail
Reliance Retail Limited-TA9N,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-TAFW,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-TAH3,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited-TAI9,Direct,Reliance Retail,North,Himachal Pradesh,Reliance Retail
Reliance Retail Limited-TAIE,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TAUX,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-TB19,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TC74,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-TCD6,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TD04,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-TDF0,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-TE39,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TEI1,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-TFY6,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TG2K,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-TGL6,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited-TH93,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-TI67,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TIU6,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited-TL07,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TL30,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited-TM18,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-TM27,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-TMI1,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited-TMI6,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited-TMO2,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TN54,Direct,Reliance Retail,West,Chattishgarh,Reliance Retail
Reliance Retail Limited-TNB5,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-TNC2,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TNC5,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited-TNC7,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited-TNC9,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TND1,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-TND2,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TND4,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-TND6,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TND7,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited-TNE1,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-TO19,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-TOG3,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited-TOM0,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited-TP06,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited-TP23,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-TP62,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TQ61,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited-TR28,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-TR86,Direct,Reliance Retail,East,Sikkim,Reliance Retail
Reliance Retail Limited-TUM6,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TV60,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-TW11,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited-TXVR,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited-TZ03,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited-TZ8R,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited-TZL5,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited-TZUM,Direct,Reliance Retail,South-2,Telangana,Reliance Retail
Reliance Retail Limited-Tna8,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-Tnd5,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited-ZZI0-B,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited_2302,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited_2364,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_2995,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_2996,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited_3210,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_6209,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited_6221,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_6717,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_6719,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited_6722,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited_6727,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_FR00,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_FR03,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_FR10,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_FR27,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_FR30,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_FR60,Direct,Reliance Retail,West,Gujarat,Reliance Retail
Reliance Retail Limited_FR62,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited_FR64,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited_FR76,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRAQ,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited_FRAT,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited_FRBD,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited_FRBR,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRBS,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRBU,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRBW,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRCG,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRCH,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRCJ,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_FRCP,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_FRCQ,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_FRCS,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited_FRDA,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited_FRDB,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited_FRDI,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited_FRDK,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited_FRDL,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited_FRDP,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_FRDT,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_FREM,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_FRER,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_FREX,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRFA,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRFD,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited_FRFK,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRFR,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited_FRFU,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited_FRFV,Direct,Reliance Retail,East,Bihar,Reliance Retail
Reliance Retail Limited_FRGC,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRGF,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRGK,Direct,Reliance Retail,North,Jammu,Reliance Retail
Reliance Retail Limited_FRGM,Direct,Reliance Retail,West,Chattishgarh,Reliance Retail
Reliance Retail Limited_FRGW,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRHC,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRHF,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRHM,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_FRHR,Direct,Reliance Retail,North,Lucknow_UPE,Reliance Retail
Reliance Retail Limited_FRLF,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_Fr87,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_Fr89,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited_Fraz,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited_S0IX,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited_S0XE,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited_SAHO,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Limited_SAOS,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_SL6S,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_SZ9J,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_Sb01,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_Sk8I,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited_T62I,Direct,Reliance Retail,West,Chattishgarh,Reliance Retail
Reliance Retail Limited_T913,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited_T946,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_TB15,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_TDC7,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited_TDE3,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited_TE57,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited_TFY8,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_TG87,Direct,Reliance Retail,South-1,Kerala,Reliance Retail
Reliance Retail Limited_TH94,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_TI77,Direct,Reliance Retail,North,UPW,Reliance Retail
Reliance Retail Limited_TK48,Direct,Reliance Retail,East,Jharkhand,Reliance Retail
Reliance Retail Limited_TMW7,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_TMZ5,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_TN55,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_TN56,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited_TNB7,Direct,Reliance Retail,West,Chattishgarh,Reliance Retail
Reliance Retail Limited_TNC1,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited_TNC6,Direct,Reliance Retail,North,Punjab,Reliance Retail
Reliance Retail Limited_TNC8,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited_TND0,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Limited_TNE3,Direct,Reliance Retail,North,Uttarakhand,Reliance Retail
Reliance Retail Limited_TNP8,Direct,Reliance Retail,West,Pune,Reliance Retail
Reliance Retail Limited_TO20,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_TOJ6,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_TP05,Direct,Reliance Retail,North,Haryana,Reliance Retail
Reliance Retail Limited_TP75,Direct,Reliance Retail,North,Madhya Pradesh,Reliance Retail
Reliance Retail Limited_TP76,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Limited_TQ21,Direct,Reliance Retail,West,Mumbai,Reliance Retail
Reliance Retail Limited_TQ22,Direct,Reliance Retail,East,West Bengal,Reliance Retail
Reliance Retail Limited_TU21,Direct,Reliance Retail,North,Delhi,Reliance Retail
Reliance Retail Limited_TW60,Direct,Reliance Retail,East,Orissa,Reliance Retail
Reliance Retail Limited_TY87,Direct,Reliance Retail,North,Rajasthan,Reliance Retail
Reliance Retail Ltd (Azorte),Direct,Azorte,West,Mumbai,Azorte
Reliance Retail Ltd (Azorte)_Shipto,Direct,Azorte,West,Mumbai,Azorte
Reliance Retail Ltd _Madhavaram- TNB8,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
Reliance Retail Ltd _Mysore_2994,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Ltd _RAJAJI NAGAR- FR49,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Ltd_Davanagere- TNC0,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Ltd_Hubballi_2997,Direct,Reliance Retail,South-1,Karnataka,Reliance Retail
Reliance Retail Ltd_Nagercoil- 3338,Direct,Reliance Retail,South-1,Tamil Nadu,Reliance Retail
S M AGENCIES_MT,Dist.,Pothys,South-1,Tamil Nadu,Pothys
SAI SAACHI ASSOCIATES-MT-OR,Dist.,V-Mart,East,Orissa,D-Mart; Reliance Retail; V-Mart; Vishal Mega Mart
SC BUSINESS COMBINE_MT,Dist.,V-Mart,East,Northeast-Assam,G N R C Medishop Pvt Ltd; Sohum Shoppe; V-Mart
SRIJAN ENTERPRISES-MT-JH,Dist.,Vishal Mega Mart,East,Jharkhand,Apna Mart; Vishal Mega Mart
Sancus Networks Private Limited-RMT,Dist.,RMT-Sancus,North,Delhi,Deal Share; Medanta; More Retail; RMT-Sancus; Vishal Mega Mart
Sathyashree Enterprises-Mt,Dist.,D-Mart,South-1,Karnataka,D-Mart
Sehaj Enterprises -MT-JK,Dist.,Vishal Mega Mart,North,Jammu,Vishal Mega Mart
Shoppers Stop Ltd - 8523,Direct,Shoppers Stop,South-1,Karnataka,Shoppers Stop
Shoppers Stop Ltd- Quest Mall-8713Brand Factory,Direct,Shoppers Stop,East,West Bengal,Shoppers Stop
Shoppers Stop Ltd-Acropolis-496,Direct,Shoppers Stop,East,West Bengal,Shoppers Stop
Shoppers Stop Ltd-Beauty Infiniti-8705,Direct,Shoppers Stop,West,Mumbai,Shoppers Stop
Shoppers Stop Ltd-Beauty Pmc-8702,Direct,Shoppers Stop,West,Mumbai,Shoppers Stop
Shoppers Stop Ltd-Guwahati City Center,Direct,Shoppers Stop,East,Northeast-Assam,Shoppers Stop
Shoppers Stop Ltd-Inorbit Mallteleng-154,Direct,Shoppers Stop,South-2,Telangana,Shoppers Stop
Shoppers Stop Ltd-Juhu-117,Direct,Shoppers Stop,West,Mumbai,Shoppers Stop
Shoppers Stop Ltd-Kochi-8530,Direct,Shoppers Stop,South-1,Kerala,Shoppers Stop
Shoppers Stop Ltd-Lulu Mall-851,Direct,Shoppers Stop,South-1,Kerala,Shoppers Stop
Shoppers Stop Ltd-Mall Of Jaipur-358,Direct,Shoppers Stop,North,Rajasthan,Shoppers Stop
Shoppers Stop Ltd-Manupasna-280,Direct,Shoppers Stop,North,Rajasthan,Shoppers Stop
Shoppers Stop Ltd-New Town Kolkata-,Direct,Shoppers Stop,East,West Bengal,Shoppers Stop
Shoppers Stop Ltd-Nucleus Mall-312,Direct,Shoppers Stop,East,Jharkhand,Shoppers Stop
Shoppers Stop Ltd-PMC Chennai-8708Brand Factory,Direct,Shoppers Stop,South-1,Tamil Nadu,Shoppers Stop
Shoppers Stop Ltd-SSB Noida-8717Brand Factory,Direct,Shoppers Stop,North,UPW,Shoppers Stop
Shoppers Stop Ltd-Saket-127,Direct,Shoppers Stop,North,Delhi,Shoppers Stop
Shoppers Stop Ltd-Saket-8707,Direct,Shoppers Stop,North,Delhi,Shoppers Stop
Shoppers Stop Ltd-Sambhajinagar-150,Direct,Shoppers Stop,West,Pune,Shoppers Stop
Shoppers Stop Ltd-Shillong-8524,Direct,Shoppers Stop,East,Northeast-Assam,Shoppers Stop
Shoppers Stop Ltd-Siliguri-167,Direct,Shoppers Stop,East,West Bengal,Shoppers Stop
Shoppers Stop Ltd-The Great  Place-130,Direct,Shoppers Stop,North,UPW,Shoppers Stop
Shoppers Stop Pvt Ltd-330,Direct,Shoppers Stop,North,Uttarakhand,Shoppers Stop
Sri Lalitha Enterprises,Dist.,Pothys,South-1,Tamil Nadu,Grace Super MKT; Pothys; Sarvana
Sri Vijaya Durga Agencies_Mt,Dist.,Health & Glow,South-2,Andhra Pradesh,Apollo; D-Mart; Health & Glow; More Retail; Reliance Retail; Spencers; Vishal Mega Mart
Swastik Marketing,Dist.,Vishal Mega Mart,North,Rajasthan,Vishal Mega Mart
THINK9 RETAIL PRIVATE LIMITED_Ship To,Direct,Broadway,West,Pune,Broadway
TNSI Retail Private Limited-Rithala,Direct,WH-Smith,North,Delhi,WH-Smith
Think9 Retail Private Ltd,Direct,Broadway,North,Delhi,Broadway
Think9 Retail Private Ltd_Bill To,Direct,Broadway,South-2,Telangana,Broadway
Tnsi Retail Pvt Ltd_Sultanpur,Direct,WH-Smith,North,Haryana,WH-Smith
Travel News Services India Pvt Ltd,Direct,WH-Smith,South-1,Tamil Nadu,WH-Smith
Travel News Services India Pvt Ltd(Cochin),Direct,WH-Smith,South-1,Kerala,WH-Smith
Travel News Services India Pvt Ltd(Hyd),Direct,WH-Smith,South-2,Telangana,WH-Smith
Travel News Services India Pvt Ltd(Wb),Direct,WH-Smith,East,West Bengal,WH-Smith
Travel News Services India Pvt Ltd- RJWsmith-SHA,Direct,WH-Smith,North,Rajasthan,WH-Smith
Travel Retail Services Pvt Ltd- GOA_Ship,Direct,Relay,West,Goa,Relay
Travel Retail Services Pvt Ltd_Blr,Direct,Relay,South-1,Karnataka,Relay
Travel Retail Services Pvt Ltd_Del,Direct,Relay,North,Delhi,Relay
Travel Retail Services Pvt Ltd_Hyd,Direct,Relay,South-2,Telangana,Relay
Trent Hypermarket Private Limited-P,Direct,Trent,West,Pune,Trent
