Store Code,Store Name,Chain,Account,Zone,State,City
TAI9,UNA,Reliance Retail,Reliance,North,Himachal Pradesh,Una
TAIE,Maraimalai Nagar,Reliance Retail,Reliance,south,TN,Maraimalainagar
TAJ7,Smart Balurghat,Reliance Retail,Reliance,East,WEST BENGAL,Balurghat
TAUX,Sola Science City,Reliance Retail,Reliance,West,Gujarat,Ahmedabad
TB15,Virasha STC Commercial Complex,Reliance Retail,Reliance,North,Madhya Pradesh,Bhopal
TB18,SMT AP Ongole Shubharao Proper,Reliance Retail,Reliance,South,Andhra Pradesh,Ongole
TB19,SMT TG Khammam YS Tower,Reliance Retail,Reliance,South,Telangana,Khammam
TC74,Iris Broadway,Reliance Retail,Reliance,North,NCR,GURGAON
TC95,Pinnacle Mall,Reliance Retail,Reliance,West,Maharashtra,Nasik
TCD6,SMT TN Cuddalore Amirtha site,Reliance Retail,Reliance,South,Tamilnadu,Cuddalore
TCE7,Dibrughar,Reliance Retail,Reliance,East,Assam,Dibrugarh
TD04,SMART Shelter Mall,Reliance Retail,Reliance,East,Jharkhand,Ranchi
TDC7,Sambalpur,Reliance Retail,Reliance,East,Orissa,Sambalpur
TDE3,Undri,Reliance Retail,Reliance,West,Maharashtra,Pune
TDF0,SMART Inco Chowk,Reliance Retail,Reliance,North,Haryana,Ambala
TE39,SMT TN Vellore Registrar PM St,Reliance Retail,Reliance,South,Tamilnadu,Vellore
TE57,Mall of Amritsar,Reliance Retail,Reliance,North,Punjab,AMRITSAR
TEI1,SMT WB Jaigaon Paragna Purba m,Reliance Retail,Reliance,East,West Bengal,Jaigaon
TFY2,Smart BB Sen Rd Berhampore,Reliance Retail,Reliance,East,WEST BENGAL,Beharampore
TFY6,SMT ROTN Dindigul Pensioner St,Reliance Retail,Reliance,South,Tamilnadu,Dindigul
TFY8,Makronia Square Sagar,Reliance Retail,Reliance,North,Madhya Pradesh,Sagar
TG2K,Bhuj,Reliance Retail,Reliance,West,Gujarat,Bhuj
TG87,Alleppey,Reliance Retail,Reliance,South,Kerala,Alappuzha
TGL6,Sunrise Plaza,Reliance Retail,Reliance,North,Madhya Pradesh,Sagar
TH93,Forum Galleria,Reliance Retail,Reliance,East,Orissa,Rourkela
TH94,SMART Khori House Sikar,Reliance Retail,Reliance,North,Rajasthan,Sikar
TI58,SMT AP Vuyyur Town Rama Krishn,Reliance Retail,Reliance,South,Andhra Pradesh,Vuyyur
TI67,SMT TG Mahbubnagar Dr Nandans,Reliance Retail,Reliance,South,Telangana,Mahbubnagar
TI77,KW Delhi 6 ,Reliance Retail,Reliance,North,NCR,Ghaziabad
TIT2,SMT AP Vizag Adarsha Nagar,Reliance Retail,Reliance,South,Andhra Pradesh,Vizag
TIU3,RRL Smart Daltonganj,Reliance Retail,Reliance,East,JHARKHAND,Daltonganj
TIU6,Dumka,Reliance Retail,Reliance,East,Jharkhand,Dumka
TJE5,SMT AP Ponnuru GBC Rd,Reliance Retail,Reliance,South,Andhra Pradesh,Guntur
TK48, City Centre Mall,Reliance Retail,Reliance,East,Jharkhand,Dhanbad
TKX4,Godda,Reliance Retail,Reliance,East,JHARKHAND,Godda
TL07,SMT TG Warangal Maddox Mall,Reliance Retail,Reliance,South,Telangana,Warangal
TL30,Vikaspuri,Reliance Retail,Reliance,North,Delhi,DELHI
TM18,Orchid Mall,Reliance Retail,Reliance,South,Karnataka,Gulbarga
TM27,Mohanty Property Balasore,Reliance Retail,Reliance,East,Orissa,Balasore
TM77,SMT KN Vijayapura Patil Planet,Reliance Retail,Reliance,South,Karnataka,Bijapur
TMI1,Mittal Mall,Reliance Retail,Reliance,North,Rajasthan,Ajmer
TMI6,Smart Anugul Divya Jyoti,Reliance Retail,Reliance,East,Orissa,Angul
TMO0,Chittor,Reliance Retail,Reliance,South,Andhra Pradesh,Chittoor
TMO2,SMART BAZAR TOWLICHOWKI,Reliance Retail,Reliance,South,Telangana,Hyderabad
TMW7,Kalwa Smart ,Reliance Retail,Reliance,West,Mumbai,Mumbai
TMZ5,Madhyamgram City,Reliance Retail,Reliance,East,West Bengal,Madhyamgram
TN54,Chandra Square,Reliance Retail,Reliance,West,Chhattisgarh,Raipur
TN55,Dwarika Developers,Reliance Retail,Reliance,East,West Bengal,Siliguri
TN56,Ananda Export,Reliance Retail,Reliance,East,Orissa,Bhubaneshwar
TNA8,Advance Mills,Reliance Retail,Reliance,West,Gujarat,Ahmedabad
