BASEPACKSIZE,Jul 26,Jun 26,May 26,Jul 25,Latest 3 Mths,Latest 12 Mths,ms_pct_jul26
875.0,0.0,0.0,0.0,,0.0,0.1,0.0
1200.0,0.0,0.0,0.0,,0.1,0.1,0.0
65.0,,,,,,,
110.0,,,,,,,
135.0,,,,,,,
220.0,,,,0.0,,0.0,
275.0,,,,,,,
290.0,,,,,,,
308.0,,,,,,,
310.0,,,0.0,0.0,0.0,0.0,
320.0,,,0.0,0.0,0.0,0.0,
382.0,,,,0.0,,0.0,
383.0,,,0.0,0.0,0.0,0.0,
440.0,,,,0.0,,0.0,
525.0,,,,,,,
680.0,,,,0.0,,0.0,
828.0,,,,,,,
900.0,,,,0.0,,0.0,
1100.0,,,,,,,
