Channel	Brand	SubCat	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
MT	Mamaearth	Dusting Powder	NORTH	1	1	1	1	1	1	1	1	0	0	2	2	1	1	2
MT	Mamaearth	Dusting Powder	SOUTH-1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4
MT	Mamaearth	Dusting Powder	SOUTH-2	4	4	4	4	4	4	4	4	3	3	3	3	3	4	4
MT	Mamaearth	Dusting Powder	WEST	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Face Scrub	EAST	2	4	3	3	3	3	4	3	3	3	3	3	2	1	1
MT	Mamaearth	Face Scrub	NORTH	5	7	6	6	6	5	6	5	4	4	4	4	3	2	2
MT	Mamaearth	Face Scrub	SOUTH-1	2	3	2	2	3	3	3	2	3	2	2	2	1	1	1
MT	Mamaearth	Face Scrub	SOUTH-2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Face Scrub	WEST	3	3	3	2	2	2	3	2	2	2	2	2	2	2	1
MT	Mamaearth	Face Cream	EAST	1	2	1	1	1	1	1	2	2	2	2	1	1	2	1
MT	Mamaearth	Face Cream	NORTH	3	3	2	3	3	2	3	3	3	2	3	2	2	1	1
MT	Mamaearth	Face Cream	SOUTH-1	3	3	3	2	3	2	2	2	2	2	3	2	2	2	2
MT	Mamaearth	Face Cream	SOUTH-2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Face Cream	WEST	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MT	Mamaearth	Face Masks	EAST	1	1	1	1	1	1	1	1	2	2	1	0	1	1	1
MT	Mamaearth	Face Masks	NORTH	2	2	2	1	1	1	1	1	2	2	3	2	2	2	2
MT	Mamaearth	Face Masks	SOUTH-1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
