Zone	Chain	Q1-24	Q2-24	Q3-24	Q4-24	Q1-25	Q2-25	Q3-25	Q4-25	Apr-26	May-26	Jun-26
SOUTH-2	Spencer	12.86	12.02	1.13
SOUTH-2	Trent	0.45			0.01	1.57	3.57	4.12	4.30	2.28	2.48	2.42
SOUTH-2	National Mart									2.22	2.46	4.02
SOUTH-2	BEAUTY & NUTRIE					1.03	2.27	1.96	1.73	0.67	0.32	0.66
SOUTH-2	Vmm		1.14	0.85	0.38	0.51	0.26	0.53	0.19	0.12	0.13	0.07
SOUTH-2	V-Mart								0.60	0.88	0.47	0.43
SOUTH-2	Wh-Smith	0.03	0.02	0.32	0.24	0.29	0.15	0.15	0.23
SOUTH-2	H&B	0.91	0.29
SOUTH-2	Spar	0.22
SOUTH-2	Guardian								0.01		0.04	0.03
SOUTH-2	Frankros			0.02	0.02	0.02	0.02
WEST	Dmart	1061.78	862.62	1018.50	1022.25	1236.92	1034.59	1448.33	1507.62	576.71	679.69	668.10
WEST	Reliance	226.33	256.59	252.44	255.80	292.62	291.07	357.29	424.09	138.17	152.45	143.23
WEST	Wellness Forever	244.28	190.68	228.96	232.81	225.01	190.33	244.71	240.92	99.52	92.44	73.35
WEST	Apollo	34.79	36.58	59.29	56.17	78.01	86.41	162.21	178.47	74.18	79.11	74.55
WEST	Metro Cnc	23.11	22.84	22.93	20.15	20.63	14.59	20.60	17.51	6.00	5.28	17.96
WEST	Walmart Cnc	8.64	7.58	5.99	13.36	17.01	4.51	7.45	6.17	2.52	1.23
WEST	Trent	9.68	6.97	6.83	1.76	4.01	8.27	8.63	8.95	3.71	4.05	6.60
WEST	H&G	7.62	4.98	7.64	5.36	3.17	3.28	2.39	2.62	1.39	2.14	1.28
WEST	V-Mart							0.19	0.52	0.40	0.20	0.14
WEST	Guardian	0.00				0.00	0.00	0.01	0.16	0.14	0.10	0.06
WEST	Frankros	0.00	0.03	0.07	0.06	0.05	0.03	0.06	0.06	0.03	0.04	0.03
WEST	H&B	0.09	0.04
WEST	Wh-Smith	0.02	0.01	0.03					0.03	0.02	0.01	0.00
