Channel	Chain	Zone	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
MT	Guardian	NORTH	1	1	1	1	1	1	1	1	2	1	2	2	2.01	1.87	1.62
MT	Guardian	SOUTH-1						0	0	0	0	0	0		0	0.12	0.11
MT	Guardian	SOUTH-2											0		0	0.04	0.03
MT	Guardian	WEST		0		0			0		0	0	0	0	0.14	0.1	0.06
MT	Wh-Smith	EAST	1	0	0	0	0	0	0	0	0	0	0	0	0.14	0.26	0.15
MT	Wh-Smith	NORTH	1	0	0	0	0	0	0	0	0	0	0	0	0.35	0.17	0.15
MT	Wh-Smith	SOUTH-1	0	0	0	0	0	0	0	0	0	0	0	0	0.16	0.14	0.11
MT	Wh-Smith	SOUTH-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT	Wh-Smith	WEST											0	0	0.02	0.01	0
MT	BEAUTY & NUTRIE	SOUTH-1	1	1	0	0	1	0	1	1	1	1	1	1	0.36	0.13	0.43
MT	BEAUTY & NUTRIE	SOUTH-2	1	0	0	1	1	1	1	1	0	0	1	1	0.67	0.32	0.66
MT	National Mart	SOUTH-2													2.22	2.46	4.02
MT	Sasta Sundar	EAST			0	0	1	1	1	1	0	0	1	1	0.9	1.17	0.99
MT	Sumo Save	EAST												0	1.45	1.73	1.47
MT	Apna Mart	EAST													2.51	0	0
