Channel	Zone	Chain	Apr-25	May-25	Jun-25	Jul-25	Aug-25	Sep-25	Oct-25	Nov-25	Dec-25	Jan-26	Feb-26	Mar-26	Apr-26	May-26	Jun-26
EB2B	East	Nykaa SS(fsn)	89.44	54.71	63.56	66.07	45.15	50.63	35.54	53.25	52.88	61.63	55.65	52.92	90.86	62.24	72.12
EB2B	North	Ascent Wellness			-0.03		-0.39	-0.25
EB2B	North	Eremedium	10.20	-4.47	12.38	5.64		14.08		10.67	5.78	6.06	6.12		7.55	6.31
EB2B	North	Nykaa SS(fsn)	62.54	37.57	38.12	51.55	26.98	33.34	32.50	36.77	25.52	40.11	32.12	40.56	70.43	46.26	52.04
EB2B	South-1	Ascent Wellness	6.07	5.34	6.45	9.13
EB2B	South-1	Nykaa SS(fsn)	45.48	30.79	22.70	28.25	19.75	28.49	35.44	27.54	24.22	53.95	26.12	23.12	53.55	29.93	35.22
EB2B	South-2	Nykaa SS(fsn)	16.44	12.17	10.52	12.10	6.64	8.17	5.04	12.08	7.55	12.62	10.16	9.99	16.30	10.83	16.15
EB2B	West	Ascent Wellness		-0.24		-0.10
EB2B	West	Nykaa SS(fsn)	23.69	18.87	18.84	21.54	14.56	14.74	19.72	22.74	21.44	24.22	21.23	22.76	31.40	27.02	31.13
MT	East	Apna Mart											6.03	0.56	4.80
MT	East	Apollo Healthco	37.79	28.21	35.39	40.17	47.31	82.43	37.64	51.39	63.97	41.05	42.32	53.31	82.45	104.26	88.16
MT	East	Arambagh	0.70	1.61	0.77	5.58	5.47	4.57	0.65	0.35	1.71	1.67	1.28	10.58	4.94	4.40	3.35
MT	East	Deal Share									7.13		0.32
MT	East	D-Mart													4.35
MT	East	Frankross	0.74	1.30	0.35	0.88	4.78	6.66	6.43	0.11	3.56	2.43	2.90	8.97	17.29	7.80	2.96
MT	East	G N R C Medishop Pvt Ltd							0.09
MT	East	H&G	2.38	2.80	4.14	9.33	5.72	2.49	5.08	0.68	5.97	2.19	0.61	2.00	2.46	2.48	2.35
MT	East	Metro-CNC-RRL	2.58	1.47	1.37	4.07	2.07	2.44	-1.50	4.55	4.38	3.16	0.12	2.84	6.51	1.57
MT	East	More Retail	10.08	16.57	8.28	8.67	12.08	8.55	7.11	1.35	11.60	10.26	6.50	6.01	12.29	14.41	7.02
MT	East	Reliance Retail	273.94	198.36	121.48	187.37	143.86	78.20	220.51	202.27	200.44	336.20	110.81	166.43	289.75	290.76	230.50
MT	East	Sasta Sunder	0.52		0.78	0.43	0.41	1.02	1.11	0.34	0.28	0.26	0.81	0.10	2.05	1.23	0.91
MT	East	Sohum Shoppe							0.22						-2.51
MT	East	Spencer	16.74	9.26	8.37	7.40	9.22	16.17	4.67	0.73	12.67	5.06	4.17	5.08	8.98	5.29	8.28
MT	East	Sumo Save												3.00	4.04	1.17	1.06
MT	East	V-Mart	0.58	3.65	-2.45	2.85	4.41	1.37	3.76	3.88	0.03	2.58		0.67		8.39	-3.56
MT	East	VMM	5.12	7.65	4.19	3.32	7.93		0.00	16.64	4.44	8.35	12.06	17.83	49.03	23.81	14.91
MT	East	WH-Smith						0.70		0.61		0.58			0.39
MT	North	Apna Klub		-0.91
MT	North	Apollo Healthco	55.16	37.94	53.29	46.70	72.74	117.17	42.55	95.79	106.80	67.63	82.02	97.73	119.35	146.30	108.80
MT	North	Deal Share									2.30			0.25	0.16	6.43	0.72
MT	North	D-Mart	213.63	207.48	128.19	171.00	175.42	156.26	256.72	174.18	213.99	268.86	276.40	316.06	479.98	311.91	312.97
MT	North	Guardian	0.98	1.60		0.97	1.54		0.49	2.00	2.73	4.07	1.89	1.23	2.92	2.68	0.91
MT	North	Lulu	7.12	8.46	13.05	7.49	14.85	10.82	10.67	27.35	18.72	36.53	7.41	18.50	23.47	22.95	26.67
MT	North	Medanta														0.27	0.54
MT	North	Metro-CNC-RRL	5.99	6.12	-0.71	15.27	-1.65	9.76	11.40	22.93	16.07	7.15	1.53	6.21	11.15	6.09
MT	North	More Retail	0.14	12.45		2.62	1.84	5.25			4.25	16.04	2.31	0.58	2.20	8.77	15.49
MT	North	Relay					-0.08
MT	North	Reliance Retail	318.53	192.11	146.66	200.39	188.82	116.16	267.80	263.65	248.09	394.97	115.94	229.66	331.24	328.40	373.60
MT	North	RMT-Sancus	7.60	54.44	37.55	78.97	15.13	19.10	14.58	45.35	46.99	51.38	50.01	5.98	73.11	64.35	28.10
MT	North	Spencer		1.79	0.06	4.56	3.95	3.08	3.14	5.75	2.86	1.95	0.38	2.01	4.07	3.61	1.37
MT	North	V-Mart							17.25	37.00	13.04	15.81			3.62	10.71
MT	North	VMM	2.95	7.73	5.42	-2.15	0.66	5.67	0.00	27.07	11.60	10.86	6.04	11.71	18.25	28.55	17.36
MT	North	Walmart CNC	7.73	9.51	15.72	16.14	9.71	11.12	29.09	28.61	2.43	17.98	6.06	25.73	12.61	25.08	-0.41
MT	North	WH-Smith		1.09			0.89	-1.30		0.98		0.27	0.67
MT	South-1	Apollo Healthco	101.41	93.43	117.39	122.02	128.29	206.41	114.30	202.08	174.34	163.83	166.00	168.49	314.58	323.30	322.79
MT	South-1	B&N				1.84	2.38	0.31	0.54		1.06	0.56	0.67		1.14	0.32
MT	South-1	D-Mart	174.02	150.12	159.60	160.43	150.58	243.05	226.73	145.20	149.96	297.44	208.22	269.18	387.34	411.46	369.48
MT	South-1	Frankross	0.20	0.25	0.20	0.20	0.12	0.17	0.17	5.21	0.14	0.53	-0.01	0.00	0.11	0.09	5.98
MT	South-1	Grace Super MKT	2.77	3.43	2.47	-0.25
MT	South-1	H&G	54.17	26.04	66.04	55.12	74.37	55.97	45.61	62.74	18.21	33.74	44.00	45.28	62.67	44.64	41.18
MT	South-1	Lulu	13.14	65.82	18.68	66.22	48.36	38.87	20.31	91.61	63.20	61.20	85.99	15.33	111.31	126.56	145.86
MT	South-1	Max Hyper							0.21		1.09				0.46		2.25
MT	South-1	Metro-CNC-RRL	10.58	8.78	7.86	25.10	10.46	15.98	9.65	22.50	17.09	18.01	5.05	13.08	16.13	7.88
MT	South-1	More Retail	8.90	16.96	5.30	13.63	9.12	10.20	18.35	17.70	10.56	13.61	7.01	12.94	11.00	16.40	22.16
MT	South-1	Pothys	3.90	8.76	7.41		0.00						-0.10
MT	South-1	Relay		0.60	0.49	0.48		-0.08
MT	South-1	Reliance Retail	175.89	75.89	85.19	113.57	86.81	51.23	117.59	124.14	104.62	223.62	32.60	114.66	145.26	123.64	130.27
MT	South-1	Sarvana	7.57	6.36	5.63					-12.16
MT	South-1	Trent	1.18	1.83	3.27	2.87	0.54	1.55	1.81	1.31	1.79	1.68	1.66	3.66	2.09	7.28	3.21
MT	South-1	Trilife	0.04		0.18	0.34	0.18		0.10	2.74	0.14	0.15			0.18	0.64	0.12
MT	South-1	V-Mart										12.31
MT	South-1	VMM			2.13						2.02	0.81	1.39	0.01	13.24		6.82
MT	South-1	WH-Smith									0.26	0.39	0.37
MT	South-2	Apollo Healthco	107.90	81.45	76.75	110.31	81.61	152.80	79.37	206.05	172.60	162.51	140.61	97.69	260.64	222.31	197.25
MT	South-2	B&N				4.01	0.12				-2.06	2.01	0.57	-0.05
MT	South-2	D-Mart	201.59	186.87	170.27	117.25	130.43	5.20	131.23	97.57	144.87	112.49	242.89	229.14	266.32	168.38	305.31
MT	South-2	H&G	21.67	13.97	21.90	35.80	17.50	2.39	1.50	50.96	29.42	16.75	10.68	2.48	28.26	21.68	22.39
MT	South-2	Lulu	1.99	2.66	4.27	3.99	1.77			24.31	2.82	6.67	4.96	5.48	12.82	20.07	14.97
MT	South-2	Metro-CNC-RRL	5.31	3.98	5.42	13.51	9.50	9.02	7.71	26.53	10.37	10.95	3.84	8.41	9.20	7.04
MT	South-2	More Retail	23.14	10.26	12.36	23.50	7.66	0.88	2.82	34.89	-1.34	21.71	16.11	8.64	24.97	18.70	20.52
MT	South-2	Mother Care															0.45
MT	South-2	National Mart												0.18	2.80	3.19	3.72
MT	South-2	Ratnadeep	9.23	9.55	4.67	12.95	3.69				6.09	7.54	8.71	0.21	3.82	3.32	2.55
MT	South-2	Relay													-0.07
MT	South-2	Reliance Retail	133.61	45.93	33.69	64.10	34.64	25.94	47.91	56.48	45.34	134.88	32.94	59.51	116.26	98.53	75.84
MT	South-2	Spencer										0.48	4.52
MT	South-2	Vijetha	8.28	3.03	3.14	3.98
MT	South-2	VMM	0.59				0.08									0.06
MT	South-2	Walmart CNC	1.15	0.69	2.82	3.07	2.08		2.76	0.33		3.23	0.33	2.87	0.61	3.36
MT	South-2	WH-Smith		-0.94								0.31
MT	West	Apollo Healthco	34.97	24.21	26.63	25.62	47.37	53.83	39.22	70.14	74.48	48.67	56.12	97.39	103.59	93.26	68.38
MT	West	D-Mart	530.12	338.68	369.79	326.72	346.57	399.34	526.94	636.15	411.03	463.22	807.18	372.05	1025.13	772.00	712.61
MT	West	H&G	0.00		-2.27	3.06	1.53	-0.01	0.00		-1.31	-1.06	0.78	1.35	3.26	3.60	3.95
MT	West	Metro-CNC-RRL	7.29	1.66	5.07	7.79	-0.44	6.93	2.18	7.76	9.02	4.76	2.96	3.12	6.10	31.07
MT	West	More Retail															2.07
MT	West	Relay					-0.19
MT	West	Reliance Retail	191.19	88.70	55.70	102.41	88.15	46.49	127.69	148.57	146.75	228.10	52.59	129.13	180.85	166.33	146.74
MT	West	Trent	2.63	3.78	0.97	3.92	2.69	3.29	2.90	1.83	2.89	2.37	4.25	1.58	4.23	8.98	5.81
MT	West	Walmart CNC	8.00	9.26	1.06	3.12		4.90	3.91	1.37	2.78	1.63	0.63	2.72	1.23	4.00
MT	West	Wellness Forever	107.30	106.24	138.64	4.59	14.75	47.88	59.04	99.98	39.93	90.38	67.63	85.64	115.85	91.98	66.66
SIS	East	Lifestyle							0.00	0.99	0.14	0.57	0.54
SIS	East	Shoppers Stop		5.77	7.95	27.11	8.79	2.90	14.85	5.49	5.28	3.06	2.92	1.53	-1.41
SIS	North	Broadway		1.31	1.73	3.42	0.68	0.90	0.57	0.90	0.51	0.51	0.87
SIS	North	Lifestyle			1.03			0.22	0.00	2.16	0.87	1.13	1.73
SIS	North	Lifestyle Babyshop		0.47
SIS	North	Shoppers Stop		2.17	-0.03	2.54	2.52	5.17	1.75	1.63	3.84	4.58	0.59	1.21	2.69
SIS	South-1	Lifestyle			1.03			0.66	1.01	1.58	-0.29	1.08	2.15
SIS	South-1	Lifestyle Babyshop		0.70
SIS	South-1	Shoppers Stop		0.55	-1.21		1.05	0.99		1.06	0.95	0.72		0.62	1.93
SIS	South-2	Broadway			4.91	2.03	0.37		2.12	0.54	0.48	0.56	0.28
SIS	South-2	Lifestyle			0.99			0.00	0.20	0.10	0.29	0.46	0.49
