Distributor,Chain,Brand,NSV_Cr,Weight_Pct,Territory
Az Enterprises,Lulu,The Derma Co,0.0116,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0023,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0006,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Aqualogica,0.0005,70.21,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0003,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.001,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0004,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0007,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0007,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0013,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0006,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,The Derma Co,0.0,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0006,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0019,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0005,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0007,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0001,9.34,KA
Az Enterprises,Lulu,Mamaearth,0.0003,9.34,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,The Derma Co,0.0008,29.37,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,Aqualogica,0.0013,70.21,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,BBlunt,0.0,0.0,KA
Az Enterprises,Lulu,The Derma Co,0.0007,29.37,KA
Az Enterprises,Lulu,Mamaearth,0.0002,9.34,KA
Az Enterprises,Lulu,The Derma Co,0.0005,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0013,29.37,KA
Az Enterprises,Lulu,The Derma Co,0.0008,29.37,KA
G.V Enterprises,Lulu,Mamaearth,0.0007,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0003,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0007,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Aqualogica,0.0001,17.62,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0002,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Aqualogica,-0.0003,17.62,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Aqualogica,0.0001,17.62,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0034,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0013,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0014,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0012,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0013,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0025,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0027,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0011,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0011,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0008,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.003,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0005,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0018,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0008,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0014,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0004,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0001,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.0003,10.49,TN
G.V Enterprises,Lulu,The Derma Co,0.0001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0002,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0,7.5,TN
G.V Enterprises,Lulu,Mamaearth,0.0013,7.5,TN
G.V Enterprises,Lulu,The Derma Co,0.001,10.49,TN
G.V Enterprises,Lulu,Mamaearth,0.0003,7.5,TN
