Year-Month,Chain/Account,Distributor,EAN,Brand,Category,Sub_Category,Quantity,NSV
2026-04,AIRPLAZA BHATINDA,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,15,1218.749996
2026-04,AIRPLAZA BHATINDA,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,6,436.79999799999996
2026-04,AIRPLAZA BHATINDA,RR Traders,8904417303537,Mamaearth,Hair,Shampoo,3,958.799998
2026-04,AIRPLAZA BHATINDA,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BHATINDA,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417305258,Mamaearth,Face,Sun Care,6,1361.100002
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417312546,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417313178,Mamaearth,Face,Sun Care,6,1556.100002
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417314298,Mamaearth,Face,Face Cleanser,15,4085.250005
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417316346,Mamaearth,Face,Face Cleanser,12,974.999998
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087770671,Mamaearth,Face,Face Cleanser,3,555.749999
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087771333,Mamaearth,Face,Sun Care,6,1197.599998
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087772859,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087778233,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087778240,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087779032,Mamaearth,Face,Face Cleanser,9,1667.249995
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417303537,Mamaearth,Hair,Shampoo,1,319.6
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8904417307740,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BISWANATH,Balaji Associates - MT,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417300512,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417305258,Mamaearth,Face,Sun Care,6,1361.100002
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417312546,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417313178,Mamaearth,Face,Sun Care,6,1556.100002
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417314298,Mamaearth,Face,Face Cleanser,3,817.050001
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417316346,Mamaearth,Face,Face Cleanser,21,1706.249994
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087770657,Mamaearth,Face,Face Cleanser,3,524.55
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087770671,Mamaearth,Face,Face Cleanser,12,2222.999994
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087771333,Mamaearth,Face,Sun Care,6,1197.599998
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087772859,Mamaearth,Face,Face Cleanser,9,1667.249995
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087778233,Mamaearth,Face,Face Cleanser,3,243.75
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087778240,Mamaearth,Face,Face Cleanser,12,974.999998
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087779032,Mamaearth,Face,Face Cleanser,30,5557.499986
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417303537,Mamaearth,Hair,Shampoo,3,958.799998
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8904417307740,Mamaearth,Hair,Shampoo,6,1209.0
2026-04,AIRPLAZA BOKAJAN,Balaji Associates - MT,8906087771807,Mamaearth,Hair,Shampoo,12,2418.000002
2026-04,AIRPLAZA DODA,Sehaj Ent,8906087770671,Mamaearth,Face,Face Cleanser,18,3147.299998
2026-04,AIRPLAZA DODA,Sehaj Ent,8906087779032,Mamaearth,Face,Face Cleanser,9,1667.249995
2026-04,AIRPLAZA GURDASPUR,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,6,1634.100002
2026-04,AIRPLAZA GURDASPUR,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA GURDASPUR,RR Traders,8904417314298,Mamaearth,Face,Face Cleanser,24,6536.400008
2026-04,AIRPLAZA GURDASPUR,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,3,555.749999
2026-04,AIRPLAZA GURDASPUR,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,3,555.749999
2026-04,AIRPLAZA GURDASPUR,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA GURDASPUR,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,3,243.75
2026-04,AIRPLAZA GURDASPUR,RR Traders,8904417303537,Mamaearth,Hair,Shampoo,3,958.799998
2026-04,AIRPLAZA GURDASPUR,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA GURDASPUR,RR Traders,8904417315073,Mamaearth,Hair,Shampoo,3,958.799998
2026-04,AIRPLAZA GURDASPUR,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA HISSAR,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,12,3268.200004
2026-04,AIRPLAZA HISSAR,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,18,4902.300006
2026-04,AIRPLAZA HISSAR,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,15,1218.749996
2026-04,AIRPLAZA HISSAR,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,3,524.55
2026-04,AIRPLAZA HISSAR,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA HISSAR,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,12,772.199996
2026-04,AIRPLAZA HISSAR,RR Traders,8904417303537,Mamaearth,Hair,Shampoo,6,1917.599998
2026-04,AIRPLAZA HISSAR,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,9,1813.5
2026-04,AIRPLAZA JANIPUR,Sehaj Ent,8904417300512,Mamaearth,Face,Face Cleanser,24,6536.400008
2026-04,AIRPLAZA JANIPUR,Sehaj Ent,8904417312546,Mamaearth,Face,Face Cleanser,9,2451.150003
2026-04,AIRPLAZA JANIPUR,Sehaj Ent,8904417316346,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA JANIPUR,Sehaj Ent,8906087778233,Mamaearth,Face,Face Cleanser,6,487.499998
2026-04,AIRPLAZA JANIPUR,Sehaj Ent,8906087779032,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA JANIPUR,Sehaj Ent,8906087771807,Mamaearth,Hair,Shampoo,3,604.5
2026-04,AIRPLAZA KALKA,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,15,4085.250005
2026-04,AIRPLAZA KALKA,RR Traders,8904417312546,Mamaearth,Face,Face Cleanser,12,3268.200004
2026-04,AIRPLAZA KALKA,RR Traders,8904417314298,Mamaearth,Face,Face Cleanser,18,4902.300006
2026-04,AIRPLAZA KALKA,RR Traders,8904417316346,Mamaearth,Face,Face Cleanser,21,1706.249994
2026-04,AIRPLAZA KALKA,RR Traders,8906087770657,Mamaearth,Face,Face Cleanser,9,1667.249995
2026-04,AIRPLAZA KALKA,RR Traders,8906087770671,Mamaearth,Face,Face Cleanser,9,1573.649998
2026-04,AIRPLAZA KALKA,RR Traders,8906087772859,Mamaearth,Face,Face Cleanser,6,1111.499998
2026-04,AIRPLAZA KALKA,RR Traders,8906087778233,Mamaearth,Face,Face Cleanser,9,731.249998
2026-04,AIRPLAZA KALKA,RR Traders,8906087778240,Mamaearth,Face,Face Cleanser,18,1158.299994
2026-04,AIRPLAZA KALKA,RR Traders,8906087779032,Mamaearth,Face,Face Cleanser,9,1667.249995
2026-04,AIRPLAZA KALKA,RR Traders,8904417303537,Mamaearth,Hair,Shampoo,3,958.799998
2026-04,AIRPLAZA KALKA,RR Traders,8904417307740,Mamaearth,Hair,Shampoo,9,1813.5
2026-04,AIRPLAZA KALKA,RR Traders,8904417315073,Mamaearth,Hair,Shampoo,3,958.799998
2026-04,AIRPLAZA KALKA,RR Traders,8906087771807,Mamaearth,Hair,Shampoo,9,1813.5
2026-04,AIRPLAZA KARNAL,RR Traders,8904417300512,Mamaearth,Face,Face Cleanser,6,1634.100002
