Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,'578279,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417300512,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417300628,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417300659,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417300673,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417301762,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417302301,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417302318,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417302325,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417302578,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417302608,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303131,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303308,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303315,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303322,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303407,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303445,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417303537,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417304298,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417305043,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417305050,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417305258,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417305838,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417306217,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417306224,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417306231,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417306248,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417306439,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417306576,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417307139,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417307146,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417307740,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417307757,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417307764,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417308129,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417308501,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417309171,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417309188,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417309546,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417310023,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417310245,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417310351,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311297,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311440,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311501,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,'8904417311549,Brand_Pareto_Assortment_Fallback
