Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Apollo Healthco Limited_Rajasthan,Direct,0.4131458,1.3176,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.1636843,0.55185,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.7603816999999999,2.15784,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0213203,0.03594,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0330886,0.0939,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0676159,0.21564,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.009770299999999999,0.03294,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.1258,0.357,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.4837248,1.54269,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0621992,0.10485,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0755466,0.2547,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.9915501,3.16224,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.10660170000000001,0.1797,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0844869,0.23976,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0676159,0.21564,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0638542,0.10764,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0426407,0.07188,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.49577489999999996,1.58112,Aug'26,FY_26-27,North,Rajasthan,The Derma Co,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0380149,0.10788,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.016886099999999998,0.04792,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0042214999999999996,0.01198,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.016206099999999998,0.02988,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.18996860000000002,0.5391,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.018549200000000002,0.0342,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.027010199999999998,0.0498,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0919406,0.15084,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.04553140000000001,0.0747,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0255269,0.04188,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.1369831,0.43104,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0375519,0.11976,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0228432,0.07188,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.0182491,0.02994,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
Apollo Healthco Limited_Rajasthan,Direct,0.2054742,0.64656,Aug'26,FY_26-27,North,Rajasthan,Mamaearth,MT,MT
