col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends 8107,South-1,Tamil Nadu,Chennai,,,Trends ,Non BA Counter,,,,8107.0,Chrompet ,,,8906087770664.0,Tea Tree Facewash for acne & pimples 100ml,100.0,Tea Tree Facewash for acne & pimples 100ml,Mamaearth,Face,Face Cleanser,Tea Tree,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends 8107,South-1,Tamil Nadu,Chennai,,,Trends ,Non BA Counter,,,,8107.0,Chrompet ,,,8906087779032.0,Rice Face Wash 100 ml,100.0,Rice Face Wash 100 ml,Mamaearth,Face,Face Cleanser,Rice,285.0,1.0,285.0,0.0017631355932203388,285.0,,0.27,46023.0,Jan ,2026.0,Face Cleanser,285.0,285.0,0.00285
,Trends 8136,East,West Bengal,KOLKATA,,,Trends ,Non BA Counter,,,,8136.0,Axis Mall,,,8904417303131.0,Pore Minimizing Priming Sunscreen,50.0,TDC Pore Minimizing Sunscreen Gel_50g,The Derma Co.,Face,Sun Care,Niacinamide,449.0,1.0,449.0,0.002663559322033898,449.0,,0.3,46023.0,Jan ,2026.0,Suncare,449.0,449.0,0.00449
,Trends 8136,East,West Bengal,KOLKATA,,,Trends ,Non BA Counter,,,,8136.0,Axis Mall,,,8904417306248.0,1% Kojic Acid Daily Face Wash,100.0,1% Kojic Acid Daily Face Wash,The Derma Co.,Face,Face Cleanser,Kojic Acid,299.0,1.0,299.0,0.0017737288135593221,299.0,,0.3,46023.0,Jan ,2026.0,Face Cleanser,299.0,299.0,0.00299
,Trends 8136,East,West Bengal,KOLKATA,,,Trends ,Non BA Counter,,,,8136.0,Axis Mall,,,8906087776604.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,30.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,The Derma Co.,Face,Face Serum,Kojic Acid,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Face Serum,499.0,499.0,0.00499
,Trends 8137,East,West Bengal,KOLKATA,,,Trends ,Non BA Counter,,,,8137.0,Avani Riverside,,,8904417314397.0,Radiance+ Dewy Sunscreen 30g,30.0,AQ Radiance+ Dewy Sunscreen Gel SPF 50+ PA++++ 30g,Aqualogica,Face,Sun Care,Radiance+,299.0,1.0,299.0,0.0017737288135593221,299.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,299.0,299.0,0.00299
,Trends 8137,East,West Bengal,KOLKATA,,,Trends ,Non BA Counter,,,,8137.0,Avani Riverside,,,8906087776604.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,30.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,The Derma Co.,Face,Face Serum,Kojic Acid,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Face Serum,499.0,499.0,0.00499
,Trends 8137,East,West Bengal,KOLKATA,,,Trends ,Non BA Counter,,,,8137.0,Avani Riverside,,,8906087778363.0,1% Hyaluronic Tinted Sunscreen Gel 50 gm,50.0,1% Hyaluronic Tinted Sunscreen Gel 50 gm,The Derma Co.,Face,Sun Care,Hyaluronic Acid,699.0,1.0,699.0,0.004146610169491525,699.0,,0.3,46023.0,Jan ,2026.0,Suncare,699.0,699.0,0.00699
,Trends 8286,West,Maharashtra,Mumbai,,,Trends ,Non BA Counter,,,,8286.0,"Viva City  , Thane",,,8904417314021.0,Barrier+ Hydra Gel Moisturizer 200g,200.0,Barrier+ Hydra Gel Moisturizer 200g,Aqualogica,Face,Moisturisers,Barrier+,499.0,2.0,998.0,0.005920338983050847,499.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,499.0,998.0,0.00998
,Trends 8286,West,Maharashtra,Mumbai,,,Trends ,Non BA Counter,,,,8286.0,"Viva City  , Thane",,,8904417317220.0,Refresh+ Perfume Body Mist - Ocean Breeze 150ml,150.0,Refresh+ Perfume Body Mist - Ocean Breeze 150ml,Aqualogica,Fragrance,Body Mist,Refresh+,499.0,1.0,499.0,0.0029601694915254236,499.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,499.0,499.0,0.00499
,Trends 8307,East,Odisha,Bhubaneshwar,,,Trends ,Non BA Counter,,,,8307.0,Z Tower Patia ,,,8904417306514.0,Detan+ Smoothie Face Wash,100.0,AQ Detan+ Hydra Smooth Face Wash 100ml with Cherry Tomato & Glycolic Acid,Aqualogica,Face,Face Cleanser,Detan+,249.0,2.0,498.0,0.0029542372881355933,249.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,249.0,498.0,0.00498
,Trends 8307,East,Odisha,Bhubaneshwar,,,Trends ,Non BA Counter,,,,8307.0,Z Tower Patia ,,,8904417307139.0,2% Kojic Acid Face Serum 10 ml,10.0,2% Kojic Acid Face Serum 10 ml,The Derma Co.,Face,Face Serum,Kojic Acid,249.0,1.0,249.0,0.0014771186440677966,249.0,,0.3,46023.0,Jan ,2026.0,Face Serum,249.0,249.0,0.00249
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8904417303445.0,Cherry T 100%N L Balm 2 g (Blister Pack),2.0,Cherry T 100%N L Balm 2 g (Blister Pack),Mamaearth,Face,Lip Balm,Cherry,299.0,1.0,299.0,0.0018497457627118644,299.0,,0.27,46023.0,Jan ,2026.0,Others Face,299.0,299.0,0.00299
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8904417306521.0,Sali-Cinamide Anti-Acne Serum,30.0,Sali-Cinamide Anti-Acne Serum,The Derma Co.,Face,Face Serum,Sali-Cinamide,599.0,1.0,599.0,0.0035533898305084746,599.0,,0.3,46023.0,Jan ,2026.0,Face Serum,599.0,599.0,0.00599
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8904417308587.0,Detan+ Dewy Sunscreen 80g,80.0,AQ Detan+ Dewy Sunscreen Gel SPF 50+ PA+++++ 80g,Aqualogica,Face,Sun Care,Detan+,599.0,3.0,1797.0,0.010660169491525423,599.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,599.0,1797.0,0.01797
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8904417310030.0,ME Beetroot Tinted 100%Natural LipBalm2g,2.0,ME Beetroot Tinted 100%Natural LipBalm2g,Mamaearth,Face,Lip Balm,Beetroot,299.0,1.0,299.0,0.0018497457627118644,299.0,,0.27,46023.0,Jan ,2026.0,Others Face,299.0,299.0,0.00299
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8904417311389.0,Illuminate+ Dewy Sunscreen SPF 50+ PA++++ 50g,50.0,AQ illuminate+ Dewy Sunscreen Gel SPF 50+ PA+++++ 50g,Aqualogica,Face,Sun Care,Illuminate+,449.0,1.0,449.0,0.002663559322033898,449.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,449.0,449.0,0.00449
,Trends TCR0,North,Uttar Pradesh,Lucknow,,,Trends ,Non BA Counter,,,,TCR0,"Bhoothnath, Faizabad Road",,,8904417314021.0,Barrier+ Hydra Gel Moisturizer 200g,200.0,Barrier+ Hydra Gel Moisturizer 200g,Aqualogica,Face,Moisturisers,Barrier+,499.0,2.0,998.0,0.005920338983050847,499.0,,0.3,46023.0,Jan ,2026.0,Aqualogica,499.0,998.0,0.00998
