col0,Unique,Zone,State,City,SO/ASE Emp Code,SO/ASE Name,Chain Name,Store Type,DC Code,DC Name,Internal Code,Site Code,Site Name,Article,Article_1,EAN,Chain Article Description,Net Weight,Description as per Fountain,Brand,Category,Sub_category,Range,MRP,Sales Qty,MRP Sales Value,NSV,Per pc,With Tax,L,Revised Month,Month,Year,PPT Category,MRP 2,M-Value,MRP In Lac
,Trends 8136,East,West Bengal,Kolkata,,,Trends ,Non Brand Counter,,,,8136.0,8136 - Kolkata Axis Mall,493725538,493725538,8904417306231.0,THE DERMA CO 1 HYALHTACNEPRONE SKIN 80G,80.0,1% Hyaluronic Sunscreen Aqua Gel 80g,The Derma Co.,Face,Sun Care,Hyaluronic Acid,699.0,1.0,699.0,0.004324322033898305,,,0.27,46143.0,May,2026.0,,699.0,699.0,699.0
,Trends 8136,East,West Bengal,Kolkata,,,Trends ,Non Brand Counter,,,,8136.0,8136 - Kolkata Axis Mall,493725535,493725535,8904417306163.0,THE DERMA CO CCINAM NIACINAMIDE PA 50GM,50.0,C-Cinamide R Sunscreen AquaGel 50g,The Derma Co.,Face,Sun Care,C-Cinamide,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends 8137,East,West Bengal,Kolkata,,,Trends ,Non Brand Counter,,,,8137.0,8137 - Kolkata Avani,494261538,494261538,8904417308440.0,Aqualogica Illuminat Alpha Arbutin 100ml,100.0,AQ illuminate+ Hydra Smooth Face Wash 100ml with Wild Berries & Alpha Arbutin,Aqualogica,Face,Face Cleanser,Illuminate+,249.0,1.0,249.0,0.0015404237288135594,,,0.27,46143.0,May,2026.0,,249.0,249.0,249.0
,Trends 8137,East,West Bengal,Kolkata,,,Trends ,Non Brand Counter,,,,8137.0,8137 - Kolkata Avani,493682172,493682172,8906087776604.0,THE DERMA CO 2 PERCECID FACE SERUM 100gm,30.0,2%Ã¯Â¿Â½Kojic Acid Face Serum,The Derma Co.,Face,Face Serum,Kojic Acid,599.0,1.0,599.0,0.0037056779661016953,,,0.27,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends 8137,East,West Bengal,Kolkata,,,Trends ,Non Brand Counter,,,,8137.0,8137 - Kolkata Avani,493682174,493682174,8906087773849.0,THE DERMA CO 2 PERCEYLIC ACID SERUM 30ml,30.0,2% SALICYLIC ACID SERUM 30 ml,The Derma Co.,Face,Face Serum,Salicylic Acid,549.0,-1.0,-549.0,-0.0033963559322033898,,,0.27,46143.0,May,2026.0,,549.0,-549.0,549.0
,Trends 8137,East,West Bengal,Kolkata,,,Trends ,Non Brand Counter,,,,8137.0,8137 - Kolkata Avani,494261518,494261518,8904417307139.0,The Derma Co. 2 Koji Pigmentation 10ml,10.0,2% Kojic Acid Face Serum 10 ml,The Derma Co.,Face,Face Serum,Kojic Acid,299.0,1.0,299.0,0.0018497457627118644,,,0.27,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends 8286,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,8286.0,8286 - Mumbai Viviana Thane,493655220,493655220,8906087778462.0,AQUALOGICA  GWDY SS PPYVTC SPF50 50GCBD,50.0,AQ Glow+ Dewy Gel Sunscreen 50g with 2% C Hylauron + Papaya,Aqualogica,Face,Sun Care,Glow+,449.0,1.0,449.0,0.0027777118644067796,,,0.27,46143.0,May,2026.0,,449.0,449.0,449.0
,Trends 8286,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,8286.0,8286 - Mumbai Viviana Thane,492506700,492506700,8906087773917.0,MAMAEARTH TEA TREE FW 250 ml BTL,250.0,Mamaearth Tea Tree Facewash For Acne & Pimples 250ml,Mamaearth,Face,Face Cleanser,Tea Tree,599.0,1.0,599.0,0.0035533898305084746,,,0.3,46143.0,May,2026.0,,599.0,599.0,599.0
,Trends 8286,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,8286.0,8286 - Mumbai Viviana Thane,491451926,491451926,8906087770671.0,MAMAEARTH UBTN T&S FW F TN RMVL100MLTUBE,100.0,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,Mamaearth,Face,Face Cleanser,Ubtan,285.0,1.0,285.0,0.001690677966101695,,,0.3,46143.0,May,2026.0,,285.0,285.0,285.0
,Trends 9567,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,9567.0,9567 - Mumbai L&T Seawod Gr,494418141,494418141,8904417314397.0,Aqualogica RadianceDewySunscrn SPF50 30g,30.0,AQ Radiance+ Dewy Sunscreen Gel SPF 50+ PA++++ 30g,Aqualogica,Face,Sun Care,Radiance+,299.0,1.0,299.0,0.0018497457627118644,,,0.27,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends 9567,WEST,Maharashtra,Mumbai,,,Trends ,Non Brand Counter,,,,9567.0,9567 - Mumbai L&T Seawod Gr,494262490,494262490,8906087775058.0,The Derma Co 10 Niacinamide Serum 10ml,10.0,The Derma Co 10% Niacinamide Serum 10 ml,The Derma Co.,Face,Face Serum,Niacinamide,249.0,1.0,249.0,0.0015404237288135594,,,0.27,46143.0,May,2026.0,,249.0,249.0,249.0
,Trends TCR0,NORTH,Uttar Pradesh,Lucknow,,,Trends ,Non Brand Counter,,,,TCR0,TCR0 - Lucknow Bhoothnath,493725491,493725491,8906087779292.0,THE DERMA COOILFREES MULTIVITAMINS 100G,100.0,Oil-Free Daily Face Moisturizer,The Derma Co.,Face,Moisturisers,Hyaluronic Acid,349.0,1.0,349.0,0.0021590677966101695,,,0.27,46143.0,May,2026.0,,349.0,349.0,349.0
,Trends TE93,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TE93,TE93 - Hyderabad CapitalMal,493695699,493695699,8904417303407.0,MAMAEARTH 100 NATURAL LIP BALM - ROSE,2.0,Rose T 100% N Lip balm 2 g(Blister Pack),Mamaearth,Face,Lip Balm,Rose,299.0,1.0,299.0,0.0017737288135593221,,,0.3,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends TE93,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TE93,TE93 - Hyderabad CapitalMal,494412358,494412358,8904417310030.0,Mamaearth BeetrtTintd Natural LipBalm 2g,2.0,ME Beetroot Tinted 100%Natural LipBalm2g,Mamaearth,Face,Lip Balm,Beetroot,299.0,1.0,299.0,0.0017737288135593221,,,0.3,46143.0,May,2026.0,,299.0,299.0,299.0
,Trends TG91,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TG91,TG91 - Hyderabad AS Rao Ngr,494418131,494418131,8904417314007.0,Aqualogica GlwHydraGlMoisturzrPapya 200g,200.0,Glow+ Hydra Gel Moisturizer 200g,Aqualogica,Face,Moisturisers,Glow+,499.0,1.0,499.0,0.0030870338983050847,,,0.27,46143.0,May,2026.0,,499.0,499.0,499.0
,Trends TG91,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TG91,TG91 - Hyderabad AS Rao Ngr,493682154,493682154,8906087776024.0,THE DERMA CO 1 PERCEACE MOISTURIZER 50gm,50.0,1% Salicylic Acid Oil-Free Face Moisturizer,The Derma Co.,Face,Moisturisers,Salicylic Acid,349.0,1.0,349.0,0.0021590677966101695,,,0.27,46143.0,May,2026.0,,349.0,349.0,349.0
,Trends TG91,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TG91,TG91 - Hyderabad AS Rao Ngr,493682147,493682147,8906087778363.0,THE DERMA CO 1 PERCED SUNSCREEN GEL 50gm,50.0,1% Hyaluronic Tinted Sunscreen Gel 50 gm,The Derma Co.,Face,Sun Care,Hyaluronic Acid,699.0,1.0,699.0,0.004324322033898305,,,0.27,46143.0,May,2026.0,,699.0,699.0,699.0
,Trends TG91,South 2,Telangana,Hyderabad,,,Trends ,Non Brand Counter,,,,TG91,TG91 - Hyderabad AS Rao Ngr,494261508,494261508,8904417306576.0,The Derma Co. Sali C 2 Niacinamide 100ml,80.0,Sali-Cinamide Anti-Acne Face Wash,The Derma Co.,Face,Face Cleanser,Sali-Cinamide,249.0,1.0,249.0,0.0015404237288135594,,,0.27,46143.0,May,2026.0,,249.0,249.0,249.0
