Bill to customer,Direct/Distributor,NSV,MRP value,Month,FY,Zone,State,Brand,Chain Name,Channel
Avenue E Commerce Limited_Panvel-2,Direct,3038.44,5976.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Limited_Panvel-2,Direct,11792.84,24540.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd -Andheri FC,Direct,9738.08,19152.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd -Andheri FC,Direct,3044.96,5988.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd -Kurla FC,Direct,10037.16,19740.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd -Kurla FC,Direct,9738.2,19152.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd -Nagpur-FC,Direct,329.6,649.0,May'25,FY_25-26,West,Pune,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd -Taloja FC-MH,Direct,5777.9,11364.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd -Vashi FC-E,Direct,1519.22,2988.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd -Vashi FC-E,Direct,4868.84,9576.0,May'25,FY_25-26,West,Mumbai,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd -Yelahanka FC,Direct,17666.1,38340.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd._Hennur Fc-Ka,Direct,5479.22,10776.0,May'25,FY_25-26,South-1,Karnataka,Aqualogica,D-Mart,MT
Avenue E Commerce Ltd._Hennur Fc-Ka,Direct,17665.6,38340.0,May'25,FY_25-26,South-1,Karnataka,The Derma Co.,D-Mart,MT
Avenue E Commerce Ltd_4047-Vasai Waliv,Direct,3038.64,5976.0,May'25,FY_25-26,West,Mumbai,Aqualogica,D-Mart,MT
