Format,Ship To Direct/Distributor,Chain Name,State,Zone,Brand,Category,Sub_category,Range,Net Weight,Month,FY,Channel,NSV,MRP value,Offtake mix share %,Article source
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,April'24,FY_24-25,MT,0.029499,0.044249,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,April'24,FY_24-25,MT,0.044249,0.066373,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,April'24,FY_24-25,MT,0.026896,0.040344,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,April'24,FY_24-25,MT,0.001739,0.002608,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,April'24,FY_24-25,MT,0.018074,0.02711,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,April'24,FY_24-25,MT,0.106062,0.159093,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,April'24,FY_24-25,MT,0.022244,0.033367,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,April'24,FY_24-25,MT,0.025032,0.037548,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,April'24,FY_24-25,MT,0.096999,0.145499,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,April'24,FY_24-25,MT,0.004174,0.006261,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,April'24,FY_24-25,MT,0.01721,0.025814,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,April'24,FY_24-25,MT,0.007823,0.011734,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,Aug'24,FY_24-25,MT,0.029499,0.044249,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,Aug'24,FY_24-25,MT,0.044249,0.066373,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,Aug'24,FY_24-25,MT,0.026896,0.040344,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,Aug'24,FY_24-25,MT,0.001739,0.002608,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,Aug'24,FY_24-25,MT,0.018074,0.02711,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,Aug'24,FY_24-25,MT,0.106062,0.159093,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,Aug'24,FY_24-25,MT,0.022244,0.033367,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,Aug'24,FY_24-25,MT,0.025032,0.037548,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,Aug'24,FY_24-25,MT,0.096999,0.145499,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,Aug'24,FY_24-25,MT,0.004174,0.006261,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,Aug'24,FY_24-25,MT,0.01721,0.025814,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,Aug'24,FY_24-25,MT,0.007823,0.011734,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,Dec'24,FY_24-25,MT,0.022124,0.036874,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,Dec'24,FY_24-25,MT,0.033186,0.055311,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,Dec'24,FY_24-25,MT,0.020172,0.03362,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,Dec'24,FY_24-25,MT,0.001304,0.002173,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,Dec'24,FY_24-25,MT,0.013555,0.022592,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,Dec'24,FY_24-25,MT,0.079547,0.132578,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,Dec'24,FY_24-25,MT,0.016683,0.027806,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,Dec'24,FY_24-25,MT,0.018774,0.03129,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,Dec'24,FY_24-25,MT,0.072749,0.121249,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,Dec'24,FY_24-25,MT,0.003131,0.005218,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,Dec'24,FY_24-25,MT,0.012907,0.021512,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,Dec'24,FY_24-25,MT,0.005867,0.009778,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,Feb'25,FY_24-25,MT,0.029499,0.044249,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,Feb'25,FY_24-25,MT,0.044249,0.066373,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,Feb'25,FY_24-25,MT,0.026896,0.040344,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,Feb'25,FY_24-25,MT,0.001739,0.002608,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,Feb'25,FY_24-25,MT,0.018074,0.02711,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,Feb'25,FY_24-25,MT,0.106062,0.159093,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,Feb'25,FY_24-25,MT,0.022244,0.033367,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,Feb'25,FY_24-25,MT,0.025032,0.037548,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,Feb'25,FY_24-25,MT,0.096999,0.145499,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,Feb'25,FY_24-25,MT,0.004174,0.006261,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,Feb'25,FY_24-25,MT,0.01721,0.025814,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,Feb'25,FY_24-25,MT,0.007823,0.011734,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,Jan'25,FY_24-25,MT,0.007375,0.01475,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,Jan'25,FY_24-25,MT,0.011062,0.022124,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,Jan'25,FY_24-25,MT,0.006724,0.013448,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,Jan'25,FY_24-25,MT,0.000435,0.000869,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,Jan'25,FY_24-25,MT,0.004518,0.009037,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,Jan'25,FY_24-25,MT,0.026516,0.053031,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,Jan'25,FY_24-25,MT,0.005561,0.011122,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,Jan'25,FY_24-25,MT,0.006258,0.012516,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,Jan'25,FY_24-25,MT,0.02425,0.0485,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,Jan'25,FY_24-25,MT,0.001044,0.002087,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,Jan'25,FY_24-25,MT,0.004302,0.008605,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,Jan'25,FY_24-25,MT,0.001956,0.003911,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,July'24,FY_24-25,MT,0.0,0.007375,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,July'24,FY_24-25,MT,0.0,0.011062,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,July'24,FY_24-25,MT,0.0,0.006724,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,July'24,FY_24-25,MT,0.0,0.000435,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,July'24,FY_24-25,MT,0.0,0.004518,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,July'24,FY_24-25,MT,0.0,0.026516,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,July'24,FY_24-25,MT,0.0,0.005561,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,July'24,FY_24-25,MT,0.0,0.006258,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,July'24,FY_24-25,MT,0.0,0.02425,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,July'24,FY_24-25,MT,0.0,0.001044,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,July'24,FY_24-25,MT,0.0,0.004302,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,July'24,FY_24-25,MT,0.0,0.001956,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,June'24,FY_24-25,MT,0.029499,0.044249,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,June'24,FY_24-25,MT,0.044249,0.066373,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,June'24,FY_24-25,MT,0.026896,0.040344,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,June'24,FY_24-25,MT,0.001739,0.002608,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,June'24,FY_24-25,MT,0.018074,0.02711,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,June'24,FY_24-25,MT,0.106062,0.159093,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,June'24,FY_24-25,MT,0.022244,0.033367,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,June'24,FY_24-25,MT,0.025032,0.037548,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,June'24,FY_24-25,MT,0.096999,0.145499,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,June'24,FY_24-25,MT,0.004174,0.006261,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,June'24,FY_24-25,MT,0.01721,0.025814,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,June'24,FY_24-25,MT,0.007823,0.011734,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,March'25,FY_24-25,MT,0.169619,0.272866,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,March'25,FY_24-25,MT,0.254429,0.409299,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,March'25,FY_24-25,MT,0.154653,0.24879,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,March'25,FY_24-25,MT,0.009998,0.016083,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,March'25,FY_24-25,MT,0.103923,0.167181,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,March'25,FY_24-25,MT,0.609857,0.981074,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,March'25,FY_24-25,MT,0.127906,0.205761,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,March'25,FY_24-25,MT,0.143934,0.231546,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,March'25,FY_24-25,MT,0.557745,0.897241,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,March'25,FY_24-25,MT,0.024002,0.038613,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,March'25,FY_24-25,MT,0.098955,0.159188,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,March'25,FY_24-25,MT,0.044979,0.072358,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,May'24,FY_24-25,MT,0.14012,0.221243,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Glow+,100.0,May'24,FY_24-25,MT,0.210181,0.331864,11.062,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Radiance+,100.0,May'24,FY_24-25,MT,0.127757,0.201721,6.724,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,50.0,May'24,FY_24-25,MT,0.008259,0.01304,0.435,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,100.0,May'24,FY_24-25,MT,0.08585,0.135552,4.518,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Glow+,200.0,May'24,FY_24-25,MT,0.503795,0.795465,26.516,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Moisturisers,Illuminate+,100.0,May'24,FY_24-25,MT,0.105661,0.166834,5.561,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Detan+,50.0,May'24,FY_24-25,MT,0.118902,0.18774,6.258,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,50.0,May'24,FY_24-25,MT,0.460745,0.727493,24.25,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Glow+,80.0,May'24,FY_24-25,MT,0.019828,0.031307,1.044,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Hydrate+,50.0,May'24,FY_24-25,MT,0.081745,0.129071,4.302,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Sun Care,Radiance+,50.0,May'24,FY_24-25,MT,0.037157,0.058669,1.956,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
DRUG STORE,Dist.,Apollo Healthco,Karnataka,South-1,Aqualogica,Face,Face Cleanser,Detan+,100.0,Nov'24,FY_24-25,MT,0.029499,0.066373,7.375,Offtake Apr-26/May-26 (FY27) chain×brand mix — FY24-25 article data unavailable
