Ship To Name,Direct/Distributor,Chain Name,State,Zone,NSV,MRP value,Brand,Revised month,Month,FY,Channel,Unique,Calulation for unique,Cont%
H&B STORES LIMITED-BLR,Direct,B&N,Karnataka,South-1,0.1,0.2,The Derma Co,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-BLR45383South-1KarnatakaThe Derma CoFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-HYD,Direct,B&N,Telangana,South-2,0.1,0.2,Aqualogica,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-HYD45383South-2TelanganaAqualogicaFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-HYD,Direct,B&N,Telangana,South-2,0.5,0.8,BBlunt,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-HYD45383South-2TelanganaBBluntFY_24-25MTDirectApril'240.5,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-HYD,Direct,B&N,Telangana,South-2,2.2,3.7,Mamaearth,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-HYD45383South-2TelanganaMamaearthFY_24-25MTDirectApril'242.2,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
H&B STORES LIMITED-HYD,Direct,B&N,Telangana,South-2,0.1,0.1,The Derma Co,2024-04-01,April'24,FY_24-25,MT,H&B STORES LIMITED-HYD45383South-2TelanganaThe Derma CoFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro-CNC-RRL,Karnataka,South-1,0.1,0.2,BBlunt,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ45383South-1KarnatakaBBluntFY_24-25MTDirectApril'240.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ,Direct,Metro-CNC-RRL,Karnataka,South-1,5.1,9.8,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd -(DC27)-T0SJ45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'245.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR,Direct,Metro-CNC-RRL,Karnataka,South-1,1.3,2.3,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd -(DC34)-T0SR45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'241.3,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro-CNC-RRL,Karnataka,South-1,-0.1,-0.1,BBlunt,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM45383South-1KarnatakaBBluntFY_24-25MTDirectApril'24-0.1,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM,Direct,Metro-CNC-RRL,Karnataka,South-1,3.6,7.9,Mamaearth,2024-04-01,April'24,FY_24-25,MT,Metro Cash & Carry India Pvt Ltd-(DC10)-T0SM45383South-1KarnatakaMamaearthFY_24-25MTDirectApril'243.6,C3&K3&G3&F3&J3&M3&N3&D3&L3&H3,
