FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10100843.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417302608.0,150.0,Mamaearth,Others,Face,Face Cream,Vitamin C,Vitamin C Daily Glow Face Cream 150 gm,399.0,48.0,10439.46,1879.1,19152.0,0.35680033416875523,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.10439459999999999,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10100107.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8906087772484.0,200.0,Mamaearth,Others,Face,Face Toner,Vitamin C,Vitamin C Face Toner with Vitamin C & Cucumber for Pore Tightening 200 ml,399.0,56.0,12179.36,2192.29,22344.0,0.35680048335123515,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.1217936,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Body,10101273.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417317275.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Cocoa,Cocoa Rich Moisturizing Body Lotion 400 ml,549.0,2.0,598.5,107.73,1098.0,0.35680327868852457,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.005985,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10200316.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417314618.0,125.0,The Derma Co.,Sun Care,Face,Sun Care,Hyaluronic Acid,TDC 1% Hyaluronic Sunscreen Aqua Gel 125g,1249.0,2.0,1361.62,245.09,2498.0,0.35680144115292245,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.013616199999999998,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10101341.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417318364.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,ME Rice Dewy Bright Light Moisturizing Cream 200 g,449.0,36.0,8810.74,1585.94,16164.0,0.35680029695619897,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.0881074,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10100842.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417303315.0,4.0,Mamaearth,Others,Face,Lip Balm,Raspberry,Nourishing tinted 100%Natural Lip Balm VitE & raspberry,249.0,224.0,30402.61,5472.48,55776.0,0.35680059523809526,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.3040261,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Baby,10100037.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8906087770695.0,8.0,Mamaearth,Baby,Baby,Mosquito Protection,Solution Oriented,Anti Mosquito Fabric Roll On 8ml,129.0,192.0,13500.65,2430.12,24768.0,0.35680030684754516,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.1350065,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Hair,10100910.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417305043.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 250 ml,310.0,135.0,25636.09,1281.81,41850.0,0.3568004778972521,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.2563609,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Face,10200048.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,4.0,651.92,117.35,1196.0,0.3567976588628763,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.006519199999999999,MT
FY'26-27,May'26,2604110184100002-RE,8061189598.0,46143.0,Hair,10101112.0,1061175835.0,M/S KOTTARAM BUSINESS CORPORATION-MT,8904417312294.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Lemon,Lemon Anti-Dandruff Shampoo 400 ml,599.0,21.0,7705.52,385.28,12579.0,0.3568010175689641,1004.0,1101841.0,Sales,Dist.,South-1,Kerala,M/S KOTTARAM BUSINESS,Apollo/H&G/Lulu,0.0,1101841.0,0.0770552,MT
