FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100310.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,1.0,69.33,12.48,125.0,0.34551999999999994,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0006933,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200048.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087775645.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,The Derma 1% Salicylic Acid Gel Face Wash,299.0,18.0,3295.34,593.16,5382.0,0.27749907097733184,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0329534,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Hair,10100124.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087772897.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Bhringamla,BhringAmla Shampoo with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250 ml,310.0,3.0,579.7,28.98,930.0,0.34550537634408596,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.005797,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101272.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,216.0,14975.88,2695.66,27000.0,0.34549851851851854,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.1497588,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Hair,10101228.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417316292.0,180.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 180 ml,177.0,9.0,992.97,49.64,1593.0,0.34550533584431886,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0099297,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Baby,10100057.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087771180.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Solution Oriented,Moisturizing Bathing Bar Soap For Babies pack of 2*75gm,221.0,6.0,826.54,41.32,1326.0,0.34550527903469075,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0082654,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101272.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417316346.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 50 ml,125.0,9.0,623.99,112.32,1125.0,0.34550222222222227,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0062399000000000005,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100310.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,43.0,2981.32,536.64,5375.0,0.3454958139534884,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0298132,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100130.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087773016.0,50.0,Mamaearth,Others,Face,Face Cream,Vitamin C,Vitamin C Face Cream with Vitamin C & SPF 20 for Skin Illumination Ã¯Â¿Â½ 50g,599.0,6.0,1993.45,358.82,3594.0,0.34550083472454096,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0199345,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100310.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,1.0,69.33,12.48,125.0,0.34551999999999994,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0006933,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101164.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417314267.0,50.0,Mamaearth,Face Serum,Face,Face Serum,Rice,Rice Water Dewy Active Serum 50 ml,499.0,9.0,2490.99,448.38,4491.0,0.345497661990648,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0249099,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100310.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,34.0,2357.32,424.32,4250.0,0.3454964705882352,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.023573200000000002,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101103.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417311549.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,285.0,7.0,1106.55,199.18,1995.0,0.34549874686716786,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.011065499999999999,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100912.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,46.0,8904.55,1602.82,16054.0,0.3454983181761555,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0890455,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200354.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417316056.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,TDC 2% Salicylic Acid Gel Face Wash,299.0,18.0,3295.34,593.16,5382.0,0.27749907097733184,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0329534,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200057.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087776437.0,30.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Salicylic Acid,1% Salicylic Acid Gel Face Wash 30 ML,149.0,6.0,547.38,98.52,894.0,0.27751677852349,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0054738,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Baby,10100058.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087771203.0,50.0,Mamaearth,Baby,Baby,Sun Care,Solution Oriented,Mineral Based Sunscreen 50ml,150.0,30.0,2495.98,449.28,4500.0,0.3454977777777777,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0249598,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100035.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,285.0,42.0,6639.3,1195.08,11970.0,0.34549874686716786,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.06639300000000001,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101390.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417319910.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Rice,ME Rice Dewy Bright Light Gel Moisturizer 200 G,499.0,3.0,570.89,102.76,1497.0,0.55,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0057089,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10200219.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417306248.0,100.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Kojic Acid,1% Kojic Acid Daily Face Wash,299.0,8.0,1464.59,263.62,2392.0,0.27750418060200666,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0146459,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100121.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,285.0,60.0,9484.72,1707.24,17100.0,0.3454994152046784,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.09484719999999999,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100310.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087778233.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,Ubtan Face Wash 50 ml,125.0,10.0,693.32,124.8,1250.0,0.34550400000000003,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0069332000000000005,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Hair,10100108.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087772491.0,250.0,Mamaearth,Others,Hair,Hair Oil,Onion,Onion Hair Oil for Hair Regrowth & Hair Fall Control 250ml,533.0,6.0,1993.42,99.68,3198.0,0.34549718574108823,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0199342,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10101103.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8904417311549.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,285.0,20.0,3161.58,569.08,5700.0,0.3454982456140351,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.0316158,EB2B
FY'26-27,Apr'26,NDT726,8061184458.0,46113.0,Face,10100034.0,1061169948.0,Nykaa E-Retail Limited.-HR-Gurhi EB2B,8906087770664.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Tea Tree,Tea Tree Facewash for acne & pimples 100ml,285.0,18.0,2845.42,512.18,5130.0,0.34549707602339186,1004.0,1103982.0,Sales,Direct,North,Haryana,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103982.0,0.028454200000000002,EB2B
