FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417312997.0,50.0,Mamaearth,Face Serum,Face,Face Serum,Beetroot,Beetroot Hydraful Essence Serum 50 ml,499.0,1.0,276.78,49.82,499.0,0.3454909819639279,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0027677999999999,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417311549.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,269.0,17.0,2536.48,456.56,4573.0,0.3454974852394489,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0253648,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417311549.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,269.0,10.0,1492.04,268.57,2690.0,0.3454981412639405,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0149204,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417312997.0,50.0,Mamaearth,Face Serum,Face,Face Serum,Beetroot,Beetroot Hydraful Essence Serum 50 ml,499.0,2.0,553.55,99.64,998.0,0.3455010020040081,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0055355,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Baby,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087771180.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Solution Oriented,Moisturizing Bathing Bar Soap For Babies pack of 2*75gm,249.0,12.0,1657.34,298.32,2988.0,0.3454953145917001,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0165734,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087772477.0,100.0,Mamaearth,Others,Face,Face Scrub,Charcoal,Charcoal Face Scrub For Oily Skin & Normal skin with Charcoal & Walnut for Deep Exfoliation Ã¯Â¿Â½ 100g,349.0,2.0,387.15,69.69,698.0,0.3455014326647565,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0038715,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,13.0,1939.66,349.14,3497.0,0.3454961395481841,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0193966,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087779032.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Face Wash 100 ml,269.0,97.0,14472.81,2605.1,26093.0,0.3454984095351243,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.1447281,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8904417315141.0,150.0,The Derma Co.,Face Cleanser,Face,Face Cleanser,Sali-Cinamide,TDC 2% Sali Cinamide anti-acne face wash 150ml,449.0,11.0,3024.1,544.34,4939.0,0.2774974691233043,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.030241,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Face,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087770671.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Ubtan,ME Ubtan Natural Glow Face Wash With Turmeric & Saffron 100ml,269.0,77.0,11488.73,2067.96,20713.0,0.3454984792159514,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.1148873,EB2B
FY'25-26,Sep'25,NDH84586,8061154301.0,45903.0,Hair,,1061135092.0,Nykaa E-Retail Limited.-UP-Hapur EB2B,8906087778776.0,100.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo 100 ml,129.0,12.0,858.62,154.55,1548.0,0.3454974160206717,1004.0,1103991.0,Sales,Direct,North,Delhi NCR,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103991.0,0.0085862,EB2B
