FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code.1,sale in lac,Channel
FY'25-26,Jan'26,5002646386.0,8061171493.0,46024.0,Face,10101166.0,1061154575.0,Avenue Supermarts Ltd.-DC-1068,8904417312546.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash 150 ml,419.0,480.0,70732.86,12731.92,201120.0,0.5850000994431186,1004.0,1102386.0,Sales,Direct,North,Rajasthan,D-Mart,D-Mart,1068.0,1102386.0,0.7073286,MT
FY'25-26,Jan'26,5112571746.0,8061171496.0,46024.0,Hair,10101055.0,1061154930.0,Reliance Retail Limited_SL6S,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,504.0,106173.32,5308.68,268632.0,0.5850010423181156,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,SL6S,1102952.0,1.0617332000000002,MT
FY'25-26,Jan'26,5112571745.0,8061171497.0,46024.0,Hair,10101055.0,1061154929.0,Reliance Retail Limited-S2BZ,8904417310351.0,400.0,Mamaearth,Shampoo,Hair,Shampoo,Rosemary,ME Rosemary Anti-Hairfall Shampoo 400 ml,533.0,277.0,58353.33,2917.67,147641.0,0.5850001015977946,1004.0,1103528.0,Sales,Direct,North,Lucknow-UPE,Reliance Retail Limited,Reliance Retail Limited,S2BZ,1103528.0,0.5835333,MT
FY'25-26,Jan'26,5112561977.0,8061171498.0,46024.0,Face,10101163.0,1061154994.0,Reliance Retail Limited_Fraz,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,48.0,6817.83,1227.17,20112.0,0.5999900556881463,1004.0,1100928.0,Sales,Direct,North,Punjab,Reliance Retail Limited,Reliance Retail Limited,Fraz,1100928.0,0.0681783,MT
FY'25-26,Jan'26,5112561979.0,8061171499.0,46024.0,Face,10101163.0,1061154993.0,Reliance Retail Limited-SAAH,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,144.0,20452.48,3681.52,60336.0,0.6000066295412357,1004.0,1102369.0,Sales,Direct,North,Delhi NCR,Reliance Retail Limited,Reliance Retail Limited,SAAH,1102369.0,0.2045248,MT
FY'25-26,Jan'26,5112561980.0,8061171500.0,46024.0,Face,10101163.0,1061154992.0,RELIANCE RETAIL LIMITED-SH69,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,48.0,6817.82,1227.18,20112.0,0.5999900556881463,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.0681782,MT
FY'25-26,Jan'26,5112561981.0,8061171501.0,46024.0,Face,10101163.0,1061154991.0,RELIANCE RETAIL LIMITED-SH71,8904417314298.0,150.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Rice,Rice Dewy Bright Face wash,419.0,768.0,109082.23,19634.77,321792.0,0.5999993784805091,1004.0,1101954.0,Sales,Direct,North,Madhya Pradesh,Reliance Retail Limited,Reliance Retail Limited,SH71,1101954.0,1.0908223,MT
FY'25-26,Jan'26,9202218340.0,8061171502.0,46024.0,Hair,10101057.0,1061154939.0,Reliance Retail Limited_SL6S,8904417310245.0,200.0,Mamaearth,Others,Hair,Hair Oil,Onion,ME Onion hair oil 200 ml,444.0,72.0,12482.79,624.14,31968.0,0.5899984359359359,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,SL6S,1102952.0,0.1248279,MT
FY'25-26,Jan'26,9202218340.0,8061171502.0,46024.0,Hair,10100076.0,1061154939.0,Reliance Retail Limited_SL6S,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,90.0,18600.07,930.0,27900.0,0.2999974910394265,1004.0,1102952.0,Sales,Direct,North,Rajasthan,Reliance Retail Limited,Reliance Retail Limited,SL6S,1102952.0,0.1860007,MT
FY'25-26,Jan'26,9202218270.0,8061171503.0,46024.0,Hair,10100076.0,1061154937.0,RELIANCE RETAIL LIMITED-SH69,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,45.0,9300.0,465.0,13950.0,0.3,1004.0,1101622.0,Sales,Direct,North,Haryana,Reliance Retail Limited,Reliance Retail Limited,SH69,1101622.0,0.093,MT
