FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10200063.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087776604.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Kojic Acid,2%Ã¯Â¿Â½Kojic Acid Face Serum,499.0,12.0,3666.38,659.95,5988.0,0.27749999999999997,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0366638,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100311.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087778240.0,50.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,ME Vitamin C Daily Glow Face Wash 50 ml,99.0,1.0,54.92,9.89,99.0,0.3453535353535353,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0005492,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Hair,10100076.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087771807.0,250.0,Mamaearth,Shampoo,Hair,Shampoo,Onion,Onion Shampoo for Hair Growth and Hair Fall Control with Onion Oil and Plant Keratin 250 ml,310.0,25.0,4830.83,241.54,7750.0,0.3455006451612903,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0483083,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10101103.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417311549.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Beetroot,Beetroot Gentle Face Wash 100 ml,269.0,2.0,298.41,53.71,538.0,0.34550185873605943,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0029841000000000004,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10100121.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,3.0,447.61,80.57,807.0,0.34550185873605943,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0044761,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Body,10101273.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417317275.0,400.0,Mamaearth,Body Lotion,Body,Body Lotion,Cocoa,Cocoa Rich Moisturizing Body Lotion 400 ml,499.0,9.0,1712.67,308.28,4491.0,0.55,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0171267,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Baby,10100027.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087770534.0,60.0,Mamaearth,Baby,Baby,Moisturisers,Milky,Milky Soft Face Cream With Murumuru Butter for Babies 60 ml,199.0,24.0,2649.05,476.83,4776.0,0.34550251256281406,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0264905,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10101391.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8904417319927.0,200.0,Mamaearth,Moisturisers,Face,Moisturisers,Aloe Vera,ME Aloe Refresh Hydrating Light Gel Moisturizer 200 G,499.0,3.0,570.89,102.76,1497.0,0.55,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.0057089,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Face,10200047.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087775607.0,30.0,The Derma Co.,Face Serum,Face,Face Serum,Vitamin C,10% Vitamin C Face Serum 30ml,649.0,4.0,1589.5,286.11,2596.0,0.27749999999999997,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.015895,EB2B
FY'25-26,Nov'25,NDH91300,8061162442.0,45965.0,Baby,10100058.0,1061144791.0,Nykaa E-Retail Limited.-UP-LKW EB2B,8906087771203.0,50.0,Mamaearth,Baby,Baby,Sun Care,Solution Oriented,Mineral Based Sunscreen 50ml,150.0,11.0,915.19,164.73,1650.0,0.3455030303030303,1004.0,1103984.0,Sales,Direct,North,Lucknow-UPE,Nykaa E-Retail Limited,Nykaa E-Retail Limited,,1103984.0,0.009151900000000001,EB2B
