FY,Month,Purchase Order Number,Inv No.,Inv. Date,Category,Article Code,SO No,Ship To Name,EAN No.,net_content,brand,PPT Category,category,sub_category,range,Description,MRP Rate,Inv Qty,Inv. Net value(LOC),Inv. Tax Amount(LOC),Total MRP sales,Avg Tot,Plant,Cust-SAP Code,MTD-Sale type,PO Type,Zone,State,Chain name,Dist chain ten,Store Code,Cust-SAP Code,sale in lac,Channel
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Face,10100062.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771333.0,80.0,Mamaearth,Sun Care,Face,Sun Care,Ubtan,Mamaearth Ultra Light Indian Sunscreen with Carrot Seed Turmeric & SPF 50 PA+++ - 80ml,499.0,19.0,5142.25,925.6,9481.0,0.35999894525893894,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0514225,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100001.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087770008.0,200.0,Mamaearth,Baby,Baby,Body Lotion,Solution Oriented,Moisturizing Daily Lotion For Babies 200ml,249.0,60.0,8103.07,1458.54,14940.0,0.35999933065595713,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0810307,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100224.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087776116.0,400.0,Mamaearth,Baby,Baby,Baby Body Wash,Milky,Milky Soft Body Wash For Babies 400 ml,499.0,18.0,2816.4,506.96,8982.0,0.6299977733244266,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.028164,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100225.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087776123.0,400.0,Mamaearth,Baby,Baby,Body Lotion,Milky,Milky Soft Body Lotion For Babies 400 ml,499.0,60.0,16238.67,2922.96,29940.0,0.359998997995992,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.1623867,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100223.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087776109.0,400.0,Mamaearth,Baby,Baby,Shampoo,Milky,Milky Soft Shampoo For Babies 400 ml,444.0,12.0,3247.55,162.38,5328.0,0.35999812312312307,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.032475500000000004,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Face,10100121.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087772859.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Vitamin C,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination Ã¯Â¿Â½ 100ml,269.0,24.0,3501.57,630.28,6456.0,0.35999845105328376,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.035015700000000004,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Face,10100912.0,1061160192.0,Apollo Healthco Limited_Faridabad,8904417305258.0,50.0,Mamaearth,Sun Care,Face,Sun Care,Vitamin C,Vitamin C Daily Glow Sunscreen 50 g,349.0,47.0,8896.56,1601.38,16403.0,0.3599987807108457,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.08896559999999999,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Face,10100033.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087770657.0,100.0,Mamaearth,Face Cleanser,Face,Face Cleanser,Charcoal,Charcoal Facewash for oil control 100ml,269.0,12.0,1750.78,315.14,3228.0,0.36,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0175078,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100057.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087771180.0,150.0,Mamaearth,Baby,Baby,Baby Soap,Solution Oriented,Moisturizing Bathing Bar Soap For Babies pack of 2*75gm,221.0,4.0,538.82,26.94,884.0,0.3599999999999999,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0053882,MT
FY'25-26,Feb'26,PO-S000293901,8061176228.0,46056.0,Baby,10100008.0,1061160192.0,Apollo Healthco Limited_Faridabad,8906087770152.0,40.0,Mamaearth,Baby,Baby,OTC,Solution Oriented,Easy Tummy Roll On 40ml,280.0,48.0,8192.02,409.6,13440.0,0.35999851190476184,1004.0,1101092.0,Sales,Direct,North,Delhi NCR,Apollo Healthco,Apollo Healthco,0.0,1101092.0,0.0819202,MT
