Distributor,Chain,2026-04,2026-05,2026-06,2026-07
Sancus Networks Pvt Ltd.,Maa Durga,9.6,,,
Sancus Networks Pvt Ltd.,Medanta,,1.64,,
Smriti Enterprises,Rajmandir,100.0,100.0,100.0,
Smriti Enterprises,Modern Bazaar,0.0,,0.0,
Sri Vijaya Durga Agencies_Mt,Apollo,,,,15.12
Sri Vijaya Durga Agencies_Mt,H&G,,,,0.77
Sri Vijaya Durga Agencies_Mt,More Retail,,,,1.1
Sri Vijaya Durga Agencies_Mt,Dmart,,,,46.94
Sri Vijaya Durga Agencies_Mt,VMM,,,,0.15
Sri Vijaya Durga Agencies_Mt,Reliance Retail,,,,35.59
Sri Vijaya Durga Agencies_Mt,RRL,,,,0.33
Srijan,Fleet Labs,100.0,,,
United Marketing,Apollo,100.0,100.0,100.0,100.0
VA,Apollo,41.58,38.7,,
VA,Lulu,12.96,22.48,,
VA,APOLLO,,,38.42,
VA,Beaute & Nutrie,,1.95,,
VA,Beaute&Nutrie,1.15,,,
VA,Beaute&nutrie,,,0.92,
VA,Health & Glow,15.68,12.35,16.91,
VA,LULU,,,20.41,
VA,MRL,21.9,17.28,,
VA,More Retail Limited,,,13.64,
VA,NATIONAL MART,,,5.75,
VA,National Mart,2.84,3.55,,
VA,Ratnadeep,3.88,3.69,3.94,
